age_cat,ethnicity,is_recid,sex,v_score_text
senior,Other,0,Male,Low
adult,African-American,1,Male,Low
young,African-American,1,Male,Low
young,African-American,0,Male,Medium
adult,Other,0,Male,Low
adult,Other,0,Male,Low
adult,Caucasian,1,Male,Low
adult,Other,0,Male,Low
adult,Caucasian,0,Female,Low
young,Caucasian,0,Male,High
adult,Caucasian,0,Female,Low
young,Caucasian,1,Male,Medium
adult,Caucasian,0,Male,Low
young,African-American,1,Male,Low
adult,Caucasian,0,Female,Low
young,Caucasian,0,Male,Medium
adult,African-American,0,Male,Low
senior,Caucasian,1,Female,Low
adult,African-American,1,Male,Low
adult,Hispanic,0,Male,Low
adult,African-American,0,Male,High
adult,Caucasian,1,Male,Low
adult,Caucasian,1,Male,Low
senior,African-American,1,Male,Low
young,African-American,1,Male,High
adult,Caucasian,1,Male,Low
young,Caucasian,0,Female,Medium
young,African-American,1,Male,Medium
young,Hispanic,1,Male,Medium
adult,Caucasian,0,Male,Low
adult,Caucasian,0,Male,Low
adult,Other,0,Male,Low
senior,African-American,0,Female,Medium
adult,African-American,0,Male,Low
adult,African-American,1,Male,Low
adult,Caucasian,0,Female,Low
adult,African-American,1,Male,Medium
adult,African-American,1,Male,Medium
adult,Caucasian,1,Male,High
adult,African-American,1,Male,Low
senior,African-American,0,Male,Low
adult,Hispanic,0,Male,Low
senior,Caucasian,0,Male,Low
adult,African-American,0,Male,High
adult,African-American,0,Male,Low
senior,Caucasian,0,Male,Low
senior,Other,1,Male,Low
adult,Caucasian,0,Male,High
adult,Caucasian,1,Female,Low
young,Caucasian,1,Male,Low
adult,African-American,1,Male,Medium
adult,Caucasian,0,Male,Low
young,African-American,0,Female,High
senior,African-American,0,Male,Low
adult,Caucasian,1,Male,Low
adult,African-American,0,Male,Medium
senior,African-American,0,Female,Low
adult,Caucasian,0,Male,Low
adult,African-American,0,Male,High
adult,African-American,1,Male,Low
adult,Other,0,Male,Low
adult,Caucasian,1,Male,High
adult,African-American,1,Male,Low
senior,Caucasian,0,Male,Low
adult,African-American,1,Male,Low
adult,African-American,0,Male,Low
adult,Caucasian,1,Male,Low
adult,Other,0,Female,Low
senior,Caucasian,0,Male,Low
adult,Caucasian,0,Male,Low
senior,Caucasian,1,Male,Low
adult,Caucasian,0,Male,High
senior,Hispanic,0,Female,Low
adult,African-American,0,Male,Low
adult,African-American,1,Male,Medium
young,African-American,1,Male,Low
adult,African-American,0,Male,Low
adult,Caucasian,0,Male,Low
adult,Hispanic,0,Male,Low
senior,African-American,0,Male,Low
senior,Caucasian,0,Male,Low
adult,Hispanic,0,Female,Low
adult,African-American,0,Male,Low
senior,African-American,1,Male,Medium
adult,African-American,0,Male,Low
adult,African-American,1,Male,High
adult,Caucasian,1,Male,Low
senior,Caucasian,0,Male,Low
young,African-American,1,Male,Medium
adult,Caucasian,0,Female,Low
young,African-American,1,Male,High
adult,African-American,1,Male,Medium
senior,Hispanic,0,Male,Low
adult,African-American,1,Male,Low
adult,Other,0,Male,Low
senior,African-American,0,Female,Low
senior,Hispanic,1,Male,Low
young,Hispanic,0,Male,Medium
adult,Caucasian,0,Female,Low
adult,African-American,0,Male,Low
adult,African-American,0,Male,Low
young,African-American,0,Male,Low
adult,African-American,1,Male,Low
adult,Caucasian,1,Male,Low
young,Hispanic,0,Female,Low
adult,African-American,0,Male,Low
