age_cat,dates_diff_in_days,ethnicity,score_text,sex
adult,160,African-American,Low,Male
young,64,African-American,Low,Male
adult,41,Caucasian,Medium,Male
young,736,Caucasian,Low,Male
young,128,African-American,Medium,Male
adult,93,African-American,Low,Male
adult,242,Caucasian,Medium,Male
adult,164,Caucasian,Low,Male
young,31,African-American,High,Male
adult,81,Caucasian,Low,Male
young,412,Hispanic,Low,Male
adult,185,African-American,Low,Male
adult,522,African-American,Medium,Male
adult,296,African-American,High,Male
adult,162,Caucasian,High,Male
adult,7,African-American,High,Male
senior,659,Other,Low,Male
adult,224,Caucasian,Medium,Female
young,240,Caucasian,Low,Male
adult,514,African-American,High,Male
adult,73,Caucasian,Low,Male
adult,61,African-American,Medium,Male
adult,9,Caucasian,High,Male
adult,10,African-American,High,Male
adult,316,African-American,Low,Male
adult,465,Caucasian,Low,Male
adult,1078,African-American,Medium,Male
young,576,African-American,Low,Male
senior,950,African-American,Medium,Male
adult,45,African-American,High,Male
adult,273,Caucasian,Low,Male
young,372,African-American,Low,Male
young,1024,African-American,High,Male
adult,193,African-American,Medium,Male
senior,324,Hispanic,Low,Male
adult,253,African-American,Medium,Male
young,408,African-American,Low,Male
adult,12,African-American,Low,Female
adult,302,Caucasian,Medium,Male
adult,56,African-American,High,Male
young,120,Other,Medium,Male
young,175,African-American,High,Male
adult,28,African-American,Medium,Male
adult,378,Caucasian,High,Male
young,254,Other,Medium,Male
adult,146,Caucasian,High,Male
adult,66,Caucasian,Low,Male
young,114,African-American,Low,Male
adult,53,Caucasian,Low,Female
young,27,Caucasian,Medium,Male
young,25,African-American,High,Male
adult,56,Caucasian,Low,Male
adult,346,African-American,Medium,Male
adult,2,Caucasian,Low,Male
adult,285,African-American,High,Male
young,395,African-American,Low,Male
adult,84,African-American,High,Male
adult,250,African-American,High,Male
young,479,Caucasian,Medium,Male
adult,422,Caucasian,Low,Male
adult,112,Caucasian,Low,Female
adult,217,Caucasian,Low,Male
adult,73,Hispanic,Medium,Female
adult,611,African-American,Medium,Male
adult,64,Caucasian,Low,Male
adult,1141,African-American,Low,Male
senior,165,Caucasian,Low,Male
adult,130,African-American,High,Male
adult,26,African-American,Medium,Male
adult,188,African-American,Medium,Male
adult,121,African-American,Low,Female
adult,276,African-American,High,Female
adult,19,African-American,High,Male
senior,545,African-American,Low,Female
senior,37,Other,Medium,Male
adult,230,African-American,Low,Female
adult,15,Caucasian,Medium,Female
senior,53,Caucasian,Low,Male
adult,32,African-American,Low,Male
adult,483,African-American,Medium,Male
senior,311,Caucasian,Low,Male
adult,273,African-American,High,Male
young,201,African-American,Medium,Male
senior,10,African-American,High,Male
young,177,African-American,Low,Male
adult,190,Caucasian,Medium,Female
senior,953,African-American,Low,Male
senior,638,Caucasian,Low,Male
adult,290,African-American,High,Male
adult,104,African-American,High,Male
adult,389,Caucasian,Low,Male
adult,174,African-American,High,Male
young,321,African-American,Low,Male
adult,759,African-American,Low,Male
adult,599,Other,Low,Male
adult,319,African-American,High,Female
adult,380,African-American,High,Male
adult,217,Caucasian,High,Female
senior,246,Caucasian,Low,Male
senior,170,Caucasian,Low,Female
adult,230,Other,Low,Male
adult,434,African-American,High,Male
adult,871,African-American,Low,Male
adult,315,Other,Low,Male
adult,162,Caucasian,Low,Male
adult,120,African-American,High,Male
adult,402,Caucasian,High,Male
adult,253,Caucasian,Low,Male
adult,137,Caucasian,Medium,Male
young,531,Caucasian,High,Male
adult,150,Caucasian,Medium,Male
young,241,African-American,High,Male
young,426,Caucasian,Medium,Female
adult,412,African-American,Low,Male
young,105,African-American,High,Male
adult,56,African-American,Medium,Male
young,469,African-American,Low,Female
senior,1133,African-American,Medium,Male
adult,221,Caucasian,Medium,Male
adult,197,African-American,Medium,Male
young,5,African-American,High,Male
senior,44,African-American,Medium,Male
adult,399,African-American,Low,Male
senior,736,Caucasian,Low,Male
young,279,African-American,High,Male
adult,416,African-American,High,Male
adult,105,Hispanic,Low,Male
young,520,African-American,Medium,Male
young,374,Caucasian,Medium,Male
adult,172,African-American,Low,Male
adult,49,African-American,Low,Male
adult,505,Caucasian,Low,Male
young,991,African-American,Medium,Male
