age_cat,c_offense_date,ethnicity,is_violent_recid,sex,v_score_text,vr_offense_date
adult,2013-01-26,African-American,1,Male,Low,2013-07-05
young,2012-12-31,Caucasian,1,Male,Medium,2015-01-06
adult,2013-11-16,Caucasian,1,Male,Low,2014-07-16
adult,2013-05-05,African-American,1,Male,Low,2015-02-23
adult,2014-10-23,African-American,1,Male,Medium,2015-08-15
adult,2014-03-27,Caucasian,1,Male,High,2014-04-05
adult,2014-05-18,African-American,1,Male,Low,2014-05-28
senior,2013-01-12,Hispanic,1,Male,Low,2014-02-01
adult,2013-11-07,African-American,1,Female,Low,2013-11-19
adult,2014-06-07,Caucasian,1,Male,High,2015-04-05
adult,2013-02-20,African-American,1,Male,High,2015-04-24
adult,,African-American,1,Male,High,2016-03-09
young,2013-10-02,Other,1,Male,High,2014-01-30
adult,2014-12-12,Caucasian,1,Male,High,2015-06-17
young,2014-11-04,African-American,1,Male,Medium,2015-02-26
adult,2013-09-04,Caucasian,1,Female,Low,2013-10-27
senior,,African-American,1,Male,Low,2015-05-31
adult,,Caucasian,1,Male,Medium,2014-11-03
adult,2014-02-27,Hispanic,1,Female,Medium,2014-05-11
adult,2014-12-17,African-American,1,Male,Medium,2015-04-10
adult,2013-12-25,African-American,1,Male,Low,2014-08-16
adult,,African-American,1,Female,High,2015-05-23
adult,2013-03-17,African-American,1,Male,Medium,2015-03-15
senior,2013-06-01,African-American,1,Male,Low,2016-01-10
adult,2013-12-24,African-American,1,Male,High,2014-04-07
young,2014-04-25,African-American,1,Male,Low,2015-03-12
adult,,Caucasian,1,Male,Low,2013-05-13
senior,2014-01-12,Caucasian,1,Female,Low,2014-07-01
adult,2013-02-16,African-American,1,Male,Low,2015-07-07
adult,2014-08-05,African-American,1,Male,Low,2014-12-20
adult,2014-03-11,Caucasian,1,Male,High,2014-08-08
young,2013-08-22,African-American,1,Male,High,2014-12-14
young,2013-08-29,Caucasian,1,Female,Medium,2014-10-29
young,2013-11-17,African-American,1,Male,Medium,2014-03-02
adult,2013-04-07,Caucasian,1,Male,Medium,2013-11-14
adult,2014-03-12,African-American,1,Male,Low,2015-04-15
adult,2014-07-14,African-American,1,Male,Medium,2015-09-03
adult,2014-03-29,Caucasian,1,Male,Low,2015-08-16
young,2013-03-15,Other,1,Male,High,2013-06-04
young,2013-03-25,African-American,1,Male,High,2014-07-15
adult,2013-10-03,Caucasian,1,Male,Low,2014-11-27
adult,,African-American,1,Male,Medium,2015-01-06
adult,,Hispanic,1,Male,Low,2014-05-22
young,2013-02-04,African-American,1,Male,High,2015-01-20
senior,2013-02-08,Caucasian,1,Male,Medium,2014-12-28
adult,2013-09-03,African-American,1,Male,High,2014-11-30
adult,2014-11-03,Caucasian,1,Male,Low,2015-11-29
adult,,Hispanic,1,Male,Low,2013-06-07
adult,,Hispanic,1,Male,Low,2015-11-27
young,2013-09-23,African-American,1,Male,Low,2014-06-18
young,2014-10-29,Other,1,Male,Medium,2015-03-20
adult,2013-04-16,African-American,1,Male,High,2015-04-06
adult,2014-02-15,Caucasian,1,Male,Low,2014-07-23
adult,2013-03-04,African-American,1,Male,Medium,2015-06-27
young,2013-04-19,African-American,1,Male,Medium,2015-08-22
young,2013-11-19,African-American,1,Male,High,2015-10-06
young,2014-04-15,Caucasian,1,Female,Low,2016-01-30
young,2013-11-05,Caucasian,1,Male,High,2014-07-15
adult,2014-03-25,Caucasian,1,Male,Low,2014-05-31
adult,2013-11-12,African-American,1,Male,Low,2014-04-24
adult,,African-American,1,Male,Medium,2015-02-05
senior,2013-02-07,African-American,1,Male,Low,2013-04-10
adult,,Caucasian,1,Male,Low,2015-08-09
young,2013-08-17,Caucasian,1,Male,High,2016-02-19
young,,African-American,1,Male,Medium,2015-06-29
young,,African-American,1,Male,Medium,2015-05-11
adult,2014-02-24,African-American,1,Male,High,2015-06-30
adult,,African-American,1,Female,Low,2015-05-29
adult,2013-03-03,African-American,1,Male,Medium,2014-06-26
adult,2013-03-16,African-American,1,Male,Low,2015-08-26
adult,2014-12-01,African-American,1,Male,High,2015-06-06
young,2014-12-09,African-American,1,Male,High,2016-02-10
adult,,Caucasian,1,Male,Low,2016-01-10
adult,2013-04-08,African-American,1,Male,Low,2013-09-15
adult,2013-12-24,Hispanic,1,Male,Low,2014-07-15
young,2013-04-17,African-American,1,Male,High,2015-06-25
senior,2014-08-27,African-American,1,Female,Low,2015-10-02
young,2013-10-30,Caucasian,1,Male,Medium,2014-02-18
adult,,African-American,1,Male,Low,2013-10-07
adult,2014-07-09,Caucasian,1,Male,Low,2015-04-08
adult,2011-07-03,African-American,1,Male,Low,2015-08-27
senior,2014-03-24,African-American,1,Male,Low,2015-09-04
adult,2013-04-14,Other,1,Male,High,2013-05-10
adult,2013-10-13,African-American,1,Male,Low,2014-06-03
young,2013-01-14,African-American,1,Male,High,2014-04-20
young,2013-05-23,Asian,1,Male,Medium,2014-11-15
adult,,African-American,1,Male,Medium,2014-04-11
adult,2013-08-22,African-American,1,Male,Medium,2014-09-29
adult,2013-06-11,African-American,1,Male,Low,2013-11-14
adult,,Caucasian,1,Male,Low,2015-09-30
adult,2014-12-12,Caucasian,1,Male,Low,2015-11-19
young,2014-03-12,African-American,1,Male,High,2015-11-27
adult,2014-03-11,African-American,1,Male,Medium,2014-10-13
young,2014-10-14,Caucasian,1,Male,High,2014-11-26
adult,,African-American,1,Male,High,2014-03-21
adult,2013-04-06,Caucasian,1,Male,Low,2014-12-07
young,2013-08-12,African-American,1,Female,Low,2014-04-24
young,2012-09-29,Caucasian,1,Female,High,2013-05-26
adult,2013-03-19,African-American,1,Male,High,2014-04-16
adult,2014-08-16,Caucasian,1,Female,Low,2015-05-13
young,2013-03-30,Other,1,Male,Medium,2015-01-22
adult,2013-08-14,African-American,1,Male,High,2014-08-29
senior,,African-American,1,Male,High,2014-06-21
young,2012-12-31,African-American,1,Male,High,2015-04-27
senior,2013-04-07,African-American,1,Male,Low,2013-06-11
adult,2014-09-08,Caucasian,1,Male,Low,2015-08-19
adult,2014-10-19,African-American,1,Male,Low,2015-03-04
adult,2013-04-05,African-American,1,Male,High,2013-09-29
adult,2013-01-29,African-American,1,Male,Low,2013-05-05
adult,2013-02-08,African-American,1,Male,High,2013-04-17
adult,2013-09-24,African-American,1,Male,Medium,2015-05-03
adult,2013-01-29,African-American,1,Male,Medium,2013-07-28
adult,2013-11-18,African-American,1,Male,Low,2015-03-29
adult,2013-05-12,Caucasian,1,Male,Low,2015-08-23
adult,2013-11-19,African-American,1,Male,Low,2013-12-10
young,2014-08-03,African-American,1,Male,Medium,2014-09-22
adult,2014-02-10,African-American,1,Male,High,2014-10-15
young,,African-American,1,Male,High,2013-12-13
adult,2013-05-09,African-American,1,Male,Medium,2015-12-07
young,,African-American,1,Male,Medium,2014-11-03
adult,2013-01-02,African-American,1,Male,High,2013-07-16
young,2013-06-24,Hispanic,1,Female,Low,2015-06-27
senior,2013-03-16,African-American,1,Male,Low,2013-06-04
young,2013-08-28,Caucasian,1,Male,Medium,2015-08-22
adult,2013-02-01,African-American,1,Male,Low,2015-05-20
young,2013-11-02,African-American,1,Male,Medium,2015-11-11
young,,African-American,1,Male,Medium,2016-03-04
adult,,African-American,1,Male,Low,2014-05-25
adult,2014-05-16,African-American,1,Male,Low,2014-11-07
adult,2014-07-27,African-American,1,Female,Low,2015-10-29
adult,2013-02-02,African-American,1,Male,Low,2013-06-08
young,,African-American,1,Male,High,2014-05-18
adult,2013-06-28,African-American,1,Male,High,2014-02-26
adult,2014-03-26,African-American,1,Male,Low,2014-12-08
young,2013-02-14,African-American,1,Male,High,2014-06-10
senior,2013-10-07,Caucasian,1,Male,Low,2015-03-20
senior,2013-03-13,African-American,1,Male,Low,2013-05-28
young,2013-01-21,African-American,1,Male,Low,2014-02-13
adult,,African-American,1,Male,Medium,2013-03-06
young,2013-04-05,African-American,1,Male,Medium,2014-01-30
adult,2013-09-15,Caucasian,1,Male,Medium,2014-06-13
adult,2011-07-24,African-American,1,Female,Medium,2015-01-01
young,,African-American,1,Female,Low,2016-01-16
adult,2014-06-01,African-American,1,Male,Medium,2014-08-06
adult,2013-03-24,African-American,1,Male,Low,2015-06-21
adult,2013-05-20,African-American,1,Male,High,2013-10-10
senior,,Caucasian,1,Male,Low,2015-09-04
senior,,Caucasian,1,Female,Low,2014-08-23
adult,2012-07-13,Caucasian,1,Male,Medium,2014-03-20
young,2012-04-13,African-American,1,Female,High,2015-09-18
adult,2013-01-19,Native American,1,Male,Medium,2015-03-19
adult,2014-04-01,African-American,1,Female,Medium,2015-06-28
adult,,African-American,1,Male,Medium,2015-04-01
adult,2013-08-12,Other,1,Male,Medium,2014-10-11
young,2014-09-28,African-American,1,Male,High,2014-10-19
adult,,African-American,1,Male,Medium,2015-03-06
adult,2014-08-16,African-American,1,Male,Medium,2015-12-25
adult,2013-02-23,African-American,1,Female,Low,2015-08-10
young,2013-11-03,Other,1,Male,High,2014-01-24
adult,2013-08-30,African-American,1,Female,Low,2013-09-30
young,,African-American,1,Male,High,2014-03-19
adult,2013-02-06,African-American,1,Male,High,2015-11-16
adult,,Caucasian,1,Male,Low,2013-07-07
young,2014-07-08,African-American,1,Male,High,2015-06-26
adult,2014-10-19,African-American,1,Female,Medium,2015-01-28
adult,2014-06-06,Caucasian,1,Male,Medium,2014-07-28
senior,2013-03-20,Caucasian,1,Male,Low,2013-04-22
young,,African-American,1,Male,High,2013-06-21
adult,2013-03-13,African-American,1,Male,Medium,2013-08-08
adult,2014-06-29,Caucasian,1,Male,Low,2015-12-30
adult,2014-04-19,Caucasian,1,Male,Low,2014-06-28
young,2013-12-12,African-American,1,Male,Medium,2014-02-21
young,2013-11-14,African-American,1,Male,Medium,2016-02-22
adult,2013-04-21,Caucasian,1,Male,Low,2015-02-04
adult,2014-07-12,African-American,1,Female,Low,2015-02-05
adult,2014-08-28,African-American,1,Male,Medium,2014-10-18
young,2014-02-05,African-American,1,Male,Medium,2016-01-04
senior,2013-01-23,African-American,1,Male,Low,2013-06-24
adult,2013-10-28,Caucasian,1,Male,Low,2014-03-20
adult,2013-09-22,Other,1,Male,Low,2014-03-26
adult,2013-02-10,Caucasian,1,Male,Low,2014-09-28
young,2013-04-18,African-American,1,Male,Medium,2014-02-27
adult,2013-08-26,African-American,1,Male,Medium,2014-06-26
young,,African-American,1,Male,High,2014-01-06
senior,2014-09-22,Caucasian,1,Male,Low,2015-07-09
young,,African-American,1,Male,High,2014-02-09
senior,,Caucasian,1,Male,Low,2014-11-15
adult,2013-01-04,African-American,1,Male,Medium,2013-06-29
young,2014-12-27,Caucasian,1,Female,Medium,2015-08-15
senior,2014-04-08,Caucasian,1,Male,Low,2015-06-09
adult,,Caucasian,1,Male,High,2015-03-16
adult,2013-04-08,African-American,1,Male,High,2013-08-10
young,2014-03-25,Caucasian,1,Female,High,2015-08-17
young,2014-05-09,Caucasian,1,Male,High,2014-10-29
adult,,Other,1,Male,Low,2014-03-07
adult,2013-03-01,African-American,1,Male,Medium,2014-05-30
adult,2012-12-16,Hispanic,1,Male,Low,2013-02-06
adult,2013-05-13,African-American,1,Male,Medium,2015-06-13
adult,2013-10-29,Caucasian,1,Female,Low,2014-04-04
young,2013-05-09,Caucasian,1,Male,High,2013-09-28
adult,2013-01-23,Caucasian,1,Male,Low,2013-06-24
adult,2013-01-06,Caucasian,1,Male,Low,2014-11-23
young,,African-American,1,Male,High,2014-06-19
senior,,African-American,1,Male,Low,2013-12-27
adult,2013-11-06,African-American,1,Male,Medium,2014-12-27
young,2013-10-30,African-American,1,Male,High,2013-11-04
adult,2014-11-14,African-American,1,Male,Medium,2015-07-05
young,2014-07-03,Caucasian,1,Male,High,2015-05-27
adult,,African-American,1,Female,Low,2015-03-10
adult,2013-03-30,African-American,1,Male,Medium,2016-01-26
adult,2013-02-07,African-American,1,Male,Low,2013-04-01
young,2013-07-27,Caucasian,1,Male,Medium,2013-11-21
adult,2014-11-13,Caucasian,1,Male,Low,2016-01-04
senior,2013-05-08,African-American,1,Male,Low,2013-11-15
adult,2013-03-18,Caucasian,1,Male,Low,2013-12-17
adult,2014-07-26,Caucasian,1,Male,Low,2015-11-08
young,,Hispanic,1,Male,High,2015-11-07
adult,2013-11-12,African-American,1,Male,Medium,2015-07-05
adult,2013-05-01,African-American,1,Male,Medium,2014-07-13
young,2013-01-17,African-American,1,Male,Low,2015-09-07
adult,2014-06-05,Caucasian,1,Male,Low,2015-02-05
adult,2013-02-06,African-American,1,Male,Low,2013-02-15
adult,,Other,1,Male,Medium,2014-09-28
young,2013-07-01,African-American,1,Male,Medium,2015-08-25
adult,2014-12-08,African-American,1,Male,High,2014-12-14
adult,2014-03-05,African-American,1,Male,Medium,2014-03-27
adult,2014-08-03,African-American,1,Male,Medium,2015-01-07
young,2013-04-13,Hispanic,1,Male,Medium,2015-01-31
young,2013-03-12,Hispanic,1,Male,High,2013-08-30
adult,2014-03-18,African-American,1,Male,Medium,2015-08-16
young,2014-10-28,African-American,1,Female,Medium,2015-03-26
young,2013-04-11,African-American,1,Male,Medium,2014-10-10
young,2013-12-15,Caucasian,1,Male,High,2014-02-18
adult,2013-09-08,African-American,1,Male,Low,2014-11-13
young,2013-08-20,African-American,1,Male,Medium,2016-02-07
young,2013-01-14,African-American,1,Male,Medium,2014-05-28
young,2013-02-15,Hispanic,1,Male,Medium,2015-06-07
adult,,African-American,1,Male,Low,2014-11-29
senior,2014-05-01,Caucasian,1,Male,Low,2014-12-19
senior,2013-07-31,African-American,1,Male,Low,2013-11-10
adult,2013-01-27,Caucasian,1,Male,Low,2014-08-31
young,2014-06-13,Caucasian,1,Male,Medium,2015-06-29
young,2014-01-30,African-American,1,Male,Medium,2014-08-31
senior,,Caucasian,1,Male,Medium,2015-09-09
adult,2014-08-02,Hispanic,1,Male,Low,2015-11-27
adult,2014-04-10,Caucasian,1,Male,Medium,2014-08-31
young,2014-02-21,Other,1,Male,High,2015-01-21
adult,2012-10-02,African-American,1,Male,Low,2014-05-21
young,2014-11-07,Caucasian,1,Male,Medium,2015-04-10
young,2013-01-31,Caucasian,1,Male,Medium,2013-08-11
adult,2013-01-21,African-American,1,Male,Low,2013-03-29
young,2013-04-25,African-American,1,Male,Medium,2015-09-24
adult,,African-American,1,Male,High,2015-09-17
adult,2014-02-21,African-American,1,Male,Medium,2015-06-25
adult,2013-10-04,African-American,1,Female,Low,2014-11-25
adult,2013-04-19,Caucasian,1,Male,Low,2014-01-18
young,2012-11-05,African-American,1,Female,Medium,2014-04-11
adult,,Caucasian,1,Male,Low,2014-12-12
adult,,African-American,1,Male,Low,2014-08-17
young,,African-American,1,Male,Medium,2013-08-19
adult,2013-04-01,African-American,1,Male,Low,2014-01-18
adult,2013-10-29,Caucasian,1,Male,Low,2015-11-11
senior,2013-06-01,African-American,1,Male,Low,2013-06-04
young,2014-01-09,Caucasian,1,Male,High,2014-03-16
adult,2013-10-29,African-American,1,Male,Low,2014-01-12
adult,,African-American,1,Male,High,2014-08-03
young,2013-01-01,African-American,1,Male,High,2015-01-19
adult,2014-02-01,Caucasian,1,Male,Low,2015-06-24
adult,2010-09-21,African-American,1,Male,High,2015-06-14
adult,2013-01-07,African-American,1,Female,Medium,2014-03-04
adult,,African-American,1,Male,Medium,2013-06-13
adult,2014-03-02,Other,1,Male,Low,2015-10-25
adult,2013-03-22,Caucasian,1,Male,Medium,2013-12-30
adult,,Caucasian,1,Male,Low,2015-03-07
young,,Caucasian,1,Male,Medium,2015-01-09
young,2014-01-13,African-American,1,Male,Low,2014-09-18
adult,2014-11-27,Caucasian,1,Male,Low,2015-11-20
adult,2013-04-12,Caucasian,1,Male,Medium,2014-04-21
adult,2013-05-06,Hispanic,1,Male,Low,2014-01-06
young,2013-12-22,Caucasian,1,Male,Low,2015-06-20
adult,2013-05-18,African-American,1,Male,Low,2013-10-25
young,2014-10-06,African-American,1,Male,Medium,2015-02-02
adult,2014-05-10,African-American,1,Male,Medium,2016-01-23
adult,2014-01-24,Caucasian,1,Female,Medium,2015-03-31
adult,2013-09-12,African-American,1,Male,High,2014-05-19
adult,2013-12-17,African-American,1,Male,Medium,2014-05-03
adult,,African-American,1,Male,Medium,2015-12-11
young,2014-10-07,Other,1,Male,High,2015-04-21
adult,2014-03-07,African-American,1,Male,Low,2014-09-15
adult,2013-03-08,African-American,1,Male,High,2014-03-19
adult,2014-09-14,Caucasian,1,Male,Low,2015-08-03
young,2013-02-10,Other,1,Male,High,2014-01-17
young,,Caucasian,1,Male,Medium,2014-01-01
adult,2014-11-05,African-American,1,Male,Medium,2015-10-07
senior,2013-09-05,Caucasian,1,Female,Low,2014-12-18
senior,2014-09-14,Caucasian,1,Male,Low,2015-12-10
adult,2013-04-24,African-American,1,Male,High,2014-12-26
adult,2014-05-22,African-American,1,Male,Low,2014-11-06
young,2014-10-12,Caucasian,1,Male,Low,2015-05-17
young,2014-03-25,Caucasian,1,Male,Medium,2015-11-06
adult,2013-09-24,African-American,1,Male,High,2015-01-20
adult,2014-05-18,Caucasian,1,Male,High,2014-09-02
adult,,Caucasian,1,Male,Low,2015-07-19
adult,2013-02-05,African-American,1,Male,High,2014-09-27
adult,2013-12-13,African-American,1,Male,Low,2014-12-17
young,2014-07-06,African-American,1,Female,High,2015-05-29
young,,African-American,1,Male,High,2015-10-27
senior,2013-03-04,African-American,1,Male,Low,2014-12-26
adult,2013-04-07,Hispanic,1,Female,Low,2014-04-22
adult,2013-07-06,African-American,1,Female,Low,2014-07-02
adult,2014-06-07,Caucasian,1,Male,Low,2014-08-15
adult,2013-02-11,African-American,1,Female,Medium,2014-05-12
adult,,Caucasian,1,Male,Medium,2014-12-05
adult,2013-01-23,African-American,1,Male,Low,2013-08-26
adult,2013-11-17,African-American,1,Male,High,2014-04-17
adult,2012-09-20,African-American,1,Male,Medium,2013-09-18
senior,2013-05-14,Other,1,Male,Low,2013-07-04
young,2014-08-07,African-American,1,Male,High,2014-08-24
young,2012-05-08,African-American,1,Female,Medium,2015-01-08
young,,African-American,1,Male,High,2013-10-08
adult,2013-12-15,African-American,1,Male,High,2015-07-15
young,2013-04-23,African-American,1,Male,High,2014-01-09
adult,2014-03-27,African-American,1,Male,Low,2014-07-17
senior,2013-01-06,African-American,1,Male,High,2015-06-18
adult,2014-12-25,Hispanic,1,Male,High,2015-02-10
adult,2013-12-13,Other,1,Male,Low,2014-04-05
adult,2013-05-06,African-American,1,Female,Low,2013-11-14
adult,2013-06-16,Caucasian,1,Male,Low,2014-10-27
adult,2013-11-12,African-American,1,Male,High,2015-11-11
senior,2012-12-31,Caucasian,1,Male,Low,2014-10-29
