age_cat,c_offense_date,ethnicity,is_recid,r_offense_date,score_text,sex
adult,2013-01-26,African-American,1,2013-07-05,Low,Male
young,2013-04-13,African-American,1,2013-06-16,Low,Male
adult,2014-02-18,Caucasian,1,2014-03-31,Medium,Male
young,2012-12-31,Caucasian,1,2015-01-06,Low,Male
young,2013-10-03,African-American,1,2014-02-08,Medium,Male
adult,2014-03-24,African-American,1,2014-06-25,Low,Male
adult,2013-11-16,Caucasian,1,2014-07-16,Medium,Male
adult,2014-11-14,Caucasian,1,2015-04-27,Low,Male
young,2013-04-17,African-American,1,2013-05-18,High,Male
adult,2014-10-16,Caucasian,1,2015-01-05,Low,Male
young,2013-02-07,Hispanic,1,2014-03-26,Low,Male
adult,2013-05-05,African-American,1,2013-11-06,Low,Male
adult,2013-02-19,African-American,1,2014-07-26,Medium,Male
adult,2014-10-23,African-American,1,2015-08-15,High,Male
adult,2013-01-28,Caucasian,1,2013-07-09,High,Male
adult,2014-11-14,African-American,1,2014-11-21,High,Male
senior,2013-04-04,Other,1,2015-01-23,Low,Male
adult,2013-12-02,Caucasian,1,2014-07-14,Medium,Female
young,2013-09-15,Caucasian,1,2014-05-13,Low,Male
adult,2013-01-11,African-American,1,2014-06-09,High,Male
adult,2014-04-05,Caucasian,1,2014-06-17,Low,Male
adult,2014-03-03,African-American,1,2014-05-03,Medium,Male
adult,2014-03-27,Caucasian,1,2014-04-05,High,Male
adult,2014-05-18,African-American,1,2014-05-28,High,Male
adult,2014-10-28,African-American,1,2015-09-09,Low,Male
adult,2013-05-10,Caucasian,1,2014-08-18,Low,Male
adult,2013-03-17,African-American,1,2016-02-28,Medium,Male
young,2013-09-17,African-American,1,2015-04-16,Low,Male
senior,2010-12-17,African-American,1,2013-07-24,Medium,Male
adult,2014-08-29,African-American,1,2014-10-13,High,Male
adult,2013-02-03,Caucasian,1,2013-11-03,Low,Male
young,2013-11-15,African-American,1,2014-11-22,Low,Male
young,2012-11-20,African-American,1,2015-09-10,High,Male
adult,2014-04-30,African-American,1,2014-11-09,Medium,Male
senior,2013-01-12,Hispanic,1,2013-12-02,Low,Male
adult,2013-01-07,African-American,1,2013-09-17,Medium,Male
young,2013-08-24,African-American,1,2014-10-06,Low,Male
adult,2013-11-07,African-American,1,2013-11-19,Low,Female
adult,2014-06-07,Caucasian,1,2015-04-05,Medium,Male
adult,2013-02-20,African-American,1,2013-04-17,High,Male
young,2013-10-02,Other,1,2014-01-30,Medium,Male
young,2014-01-16,African-American,1,2014-07-10,High,Male
adult,2014-04-28,African-American,1,2014-05-26,Medium,Male
adult,2013-01-11,Caucasian,1,2014-01-24,High,Male
young,2013-04-19,Other,1,2013-12-29,Medium,Male
adult,2014-12-12,Caucasian,1,2015-05-07,High,Male
adult,2013-02-10,Caucasian,1,2013-04-17,Low,Male
young,2014-11-04,African-American,1,2015-02-26,Low,Male
adult,2013-09-04,Caucasian,1,2013-10-27,Low,Female
young,2013-04-11,Caucasian,1,2013-05-08,Medium,Male
young,2013-03-01,African-American,1,2013-03-26,High,Male
adult,2013-01-15,Caucasian,1,2013-03-12,Low,Male
adult,2013-11-16,African-American,1,2014-10-28,Medium,Male
adult,2013-03-15,Caucasian,1,2013-03-17,Low,Male
adult,2013-09-06,African-American,1,2014-06-18,High,Male
young,2013-11-12,African-American,1,2014-12-12,Low,Male
adult,2014-01-10,African-American,1,2014-04-04,High,Male
adult,2014-11-14,African-American,1,2015-07-22,High,Male
young,2014-07-07,Caucasian,1,2015-10-29,Medium,Male
adult,2014-12-18,Caucasian,1,2016-02-13,Low,Male
adult,2014-11-18,Caucasian,1,2015-03-10,Low,Female
adult,2014-01-26,Caucasian,1,2014-08-31,Low,Male
adult,2014-02-27,Hispanic,1,2014-05-11,Medium,Female
adult,2013-01-01,African-American,1,2014-09-04,Medium,Male
adult,2013-08-20,Caucasian,1,2013-10-23,Low,Male
adult,2013-01-16,African-American,1,2016-03-02,Low,Male
senior,2013-04-01,Caucasian,1,2013-09-13,Low,Male
adult,2014-04-18,African-American,1,2014-08-26,High,Male
adult,2014-12-17,African-American,1,2015-01-12,Medium,Male
adult,2013-12-25,African-American,1,2014-07-01,Medium,Male
adult,2014-10-22,African-American,1,2015-02-20,Low,Female
adult,2013-01-10,African-American,1,2013-10-13,High,Female
adult,2013-04-15,African-American,1,2013-05-04,High,Male
senior,2013-04-26,African-American,1,2014-10-23,Low,Female
senior,2013-05-14,Other,1,2013-06-20,Medium,Male
adult,2013-03-09,African-American,1,2013-10-25,Low,Female
